"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"India",,"2023-02-11","true","1","B08PDGRR32","4","Great speakers for Indoors (Only transmits sound from front not from back. It's serves the purpose though)Decent Battery life, RGB lights & It's controls are easy to understand, Mostly will use mobile or PC controls anyway :).I would say charging time was a huge con , It'll take about 4 hours 30 mins to charge it from 0 to 100%,of course they mentioned it will take 4 hours, but it can be improved as cost is bit high.✌️","https://m.media-amazon.com/images/I/81I7MjEkkoL._SY88.jpg",,,,"One person found this helpful","Everything is great except charging.","https://www.amazon.in/gp/customer-reviews/R1YL5DV22L76HX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 11 February 2023","Style name: 1200Colour: Black"
"India",,"2023-01-14","true","2","B08PDGRR32","4","Battery life indication is not properly working when 70 to 100% life. This is only cons i have seen since 15 days usage. Backup time around 6 hrs at 65% volume with RGB ON. I'm fully satisfied about battery life.Bluetooth connectivity is superb. Mobile is in terrace where speaker is in ground floor awesome working without distraction.Sound and voice is crystal clear while using low volume and then high volume bass is superb. I'm in rural area the FM is connected, its tuning and tuning but not further connected i think the frequency of the product is above 100Hz thats the reason, so main concern for myself.I recommend to buy this product surely.","https://m.media-amazon.com/images/I/81I7MjEkkoL._SY88.jpg",,,,"7 people found this helpful","Battery indication and FM connection","https://www.amazon.in/gp/customer-reviews/RCGWA3LB4LBZI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 14 January 2023","Style name: 1200Colour: Maroon"
"India",,"2022-12-23","true","3","B08PDGRR32","4","Before we buy this we always look for an honest feedbacks in the feedback sections because we don't wanna take risk with spending money.So here's the take: If you live in an apartment or a room then buy this, it has more than average bass and sound is good as well. Dont go with the video comparisons on YouTube it will only confuse you. The only cons is the battery , if you blast on a high volume it will last 3 hours but that's enough for anyone.If you play it in 50 to 70 percent volume which also sounds high then it will last 8 hours.Good luck with the purchase.","https://m.media-amazon.com/images/I/81I7MjEkkoL._SY88.jpg",,,,"19 people found this helpful","Good for a room party.","https://www.amazon.in/gp/customer-reviews/RTNRDG7U46CM5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 23 December 2022","Style name: 1200Colour: Black"
"India",,"2023-01-20","true","4","B08PDGRR32","4","Just one thing the fm is minus point for me as i have tried so many times but i canot connect to fm , and besides it nothing to worry about you can go for it .","https://m.media-amazon.com/images/I/81I7MjEkkoL._SY88.jpg",,,,"3 people found this helpful","Its a very satisfying bluetooth speaker , you will not regret buying this","https://www.amazon.in/gp/customer-reviews/R3OAVFVDVQ86M7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 20 January 2023","Style name: 1200Colour: Maroon"
"India",,"2023-01-25","true","5","B08PDGRR32","4","Sound quality is good at this price point but it is not delivering battery backup that Boat is claiming......!!","https://m.media-amazon.com/images/I/81I7MjEkkoL._SY88.jpg",,,,"2 people found this helpful","Nice Product...!!","https://www.amazon.in/gp/customer-reviews/R2UTOX98EXIO81/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 25 January 2023","Style name: 1200Colour: Blue"
"India",,"2023-01-27","true","6","B08PDGRR32","4","Good quality but needed more volume","https://m.media-amazon.com/images/I/81I7MjEkkoL._SY88.jpg",,,,"","Worth of money","https://www.amazon.in/gp/customer-reviews/RV5MPVJCH31PL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 27 January 2023","Style name: 1200Colour: Black"
"India",,"2023-02-06","true","7","B08PDGRR32","4","I'm 3.5 star rating for Regan the body material low  but sound is good light is good","https://m.media-amazon.com/images/I/81I7MjEkkoL._SY88.jpg",,,,"","Saund quality is good but innar material  body  fiber aplastic is very low quality","https://www.amazon.in/gp/customer-reviews/R3BHLMJGWQNAL7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 6 February 2023","Style name: 1200Colour: Maroon"
"India",,"2023-01-22","true","8","B08PDGRR32","4","Everything is good axcept battery is not going to be long time. Thankyou.","https://m.media-amazon.com/images/I/81I7MjEkkoL._SY88.jpg",,,,"One person found this helpful","It's very good product and value for money","https://www.amazon.in/gp/customer-reviews/R3Q4WG7KPJOXKJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 22 January 2023","Style name: 1200Colour: Blue"
"India",,"2023-01-19","true","9","B08PDGRR32","4","Amazon products package was very. Good and on time delivered I am completely satisfied","https://m.media-amazon.com/images/I/81I7MjEkkoL._SY88.jpg",,,,"One person found this helpful","Value for money","https://www.amazon.in/gp/customer-reviews/R1ABFELAMDN8ZF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 19 January 2023","Style name: 1200Colour: Black"
"India",,"2023-02-14","true","10","B08PDGRR32","4","","https://m.media-amazon.com/images/I/81I7MjEkkoL._SY88.jpg",,,,"One person found this helpful","Awesome sound quality","https://www.amazon.in/gp/customer-reviews/RCD2JDRZF9P54/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 14 February 2023","Style name: 1200Colour: Blue"
"India","🇮🇳","2023-02-04","true","31","B08PDGRR32","5","Amazing sound quality. Worth for price. Best product 🔥","https://m.media-amazon.com/images/I/61tZqDp+TOL._SY88.jpg","https://m.media-amazon.com/images/I/714lE4pWjNL._SY88.jpg","https://m.media-amazon.com/images/I/71uXRW-rP6L._SY88.jpg","https://m.media-amazon.com/images/I/71W6iIz5s7L._SY88.jpg","","Can't search like a product like this one🔥","https://www.amazon.in/gp/customer-reviews/R337NOD2Q8IRUB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India 🇮🇳 on 4 February 2023","Style name: 1200Colour: Black"
"India","🇮🇳","2023-01-09","true","32","B08PDGRR32","5","Please don't Buy this product. ❌No doubt the product quality is good but the customer support is as worst as possible.Please go for any other brand but not this, really felt so uncomfortable while claiming the guarantee. If I rank the product its 8/10... But if I rank the service team and the customer support it will be 1/10.I've suffered alot, writing this comment to guide others who are just going to purchase it now.","https://m.media-amazon.com/images/I/61tZqDp+TOL._SY88.jpg","https://m.media-amazon.com/images/I/714lE4pWjNL._SY88.jpg","https://m.media-amazon.com/images/I/71uXRW-rP6L._SY88.jpg","https://m.media-amazon.com/images/I/71W6iIz5s7L._SY88.jpg","4 people found this helpful","Worst Customer Support, Please Don't But this product.","https://www.amazon.in/gp/customer-reviews/RATRY8WN5K91K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India 🇮🇳 on 9 January 2023","Style name: 1200Colour: Black"
"India","🇮🇳","2022-11-28","true","33","B08PDGRR32","4","Awesome speaker at this price range!!! 🤩🤩","https://m.media-amazon.com/images/I/61tZqDp+TOL._SY88.jpg","https://m.media-amazon.com/images/I/714lE4pWjNL._SY88.jpg","https://m.media-amazon.com/images/I/71uXRW-rP6L._SY88.jpg","https://m.media-amazon.com/images/I/71W6iIz5s7L._SY88.jpg","","Great","https://www.amazon.in/gp/customer-reviews/RJWQZ4J8D8D43/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India 🇮🇳 on 28 November 2022","Style name: 1200Colour: Blue"
"India","🇮🇳","2022-11-29","true","34","B08PDGRR32","4","Worth for the money and late charging. Battery 🔋 long last","https://m.media-amazon.com/images/I/61tZqDp+TOL._SY88.jpg","https://m.media-amazon.com/images/I/714lE4pWjNL._SY88.jpg","https://m.media-amazon.com/images/I/71uXRW-rP6L._SY88.jpg","https://m.media-amazon.com/images/I/71W6iIz5s7L._SY88.jpg","","Sound quality is awesome and easy to carry","https://www.amazon.in/gp/customer-reviews/R14FCMNW2JTJ3V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India 🇮🇳 on 29 November 2022","Style name: 1200Colour: Blue"
"India","🇮🇳","2023-02-04","true","35","B08PDGRR32","5","Best quality","https://m.media-amazon.com/images/I/61tZqDp+TOL._SY88.jpg","https://m.media-amazon.com/images/I/714lE4pWjNL._SY88.jpg","https://m.media-amazon.com/images/I/71uXRW-rP6L._SY88.jpg","https://m.media-amazon.com/images/I/71W6iIz5s7L._SY88.jpg","","Top quality top sound","https://www.amazon.in/gp/customer-reviews/R1Q408TMLHCVF3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India 🇮🇳 on 4 February 2023","Style name: 1200Colour: Black"
"India","🇮🇳","2023-01-21","true","36","B08PDGRR32","5","Sound quality is good.bluetuth connectivity good.battery life is somethind disappoint but overall product is awesome.i recommend to buy.","https://m.media-amazon.com/images/I/61tZqDp+TOL._SY88.jpg","https://m.media-amazon.com/images/I/714lE4pWjNL._SY88.jpg","https://m.media-amazon.com/images/I/71uXRW-rP6L._SY88.jpg","https://m.media-amazon.com/images/I/71W6iIz5s7L._SY88.jpg","","Bomb speaker","https://www.amazon.in/gp/customer-reviews/RA0YARAOQ8GSE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India 🇮🇳 on 21 January 2023","Style name: 1200Colour: Black"
"India","🇮🇳","2023-01-29","true","37","B08PDGRR32","3","Battery durations","https://m.media-amazon.com/images/I/61tZqDp+TOL._SY88.jpg","https://m.media-amazon.com/images/I/714lE4pWjNL._SY88.jpg","https://m.media-amazon.com/images/I/71uXRW-rP6L._SY88.jpg","https://m.media-amazon.com/images/I/71W6iIz5s7L._SY88.jpg","","Battery duration is not that great...it's ok ok","https://www.amazon.in/gp/customer-reviews/R28ODQAOEPN7FP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India 🇮🇳 on 29 January 2023","Style name: 1200Colour: Maroon"
"India","🇮🇳","2022-10-13","true","38","B08PDGRR32","4","Just received it two days ago, and so far… it’s doing well for itself. However, I was expecting more bass, more depth towards softer tones or background sounds in videos, for it’s size is quite big!As per connectivity issues, it does get disconnected here n there, n gets connected again. The voice stared to distort once in between these two days too…Hopefully the minor problems won’t become major as time passes by.","https://m.media-amazon.com/images/I/61tZqDp+TOL._SY88.jpg","https://m.media-amazon.com/images/I/714lE4pWjNL._SY88.jpg","https://m.media-amazon.com/images/I/71uXRW-rP6L._SY88.jpg","https://m.media-amazon.com/images/I/71W6iIz5s7L._SY88.jpg","5 people found this helpful","Great quality for it’s price","https://www.amazon.in/gp/customer-reviews/RISVHOVR81W2A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India 🇮🇳 on 13 October 2022","Style name: 1200Colour: Black"
"India","🇮🇳","2023-01-22","true","39","B08PDGRR32","3","Sudden this device off when sound is high.....","https://m.media-amazon.com/images/I/61tZqDp+TOL._SY88.jpg","https://m.media-amazon.com/images/I/714lE4pWjNL._SY88.jpg","https://m.media-amazon.com/images/I/71uXRW-rP6L._SY88.jpg","https://m.media-amazon.com/images/I/71W6iIz5s7L._SY88.jpg","","Sudden off when volume high...","https://www.amazon.in/gp/customer-reviews/R9U0RKCP1L1WC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India 🇮🇳 on 22 January 2023","Style name: 1200Colour: Blue"
"India","🇮🇳","2023-01-19","true","40","B08PDGRR32","5","Speaker is very good as per price. Best thing about this speak is its bass. I love it, don't think twice just go for it.","https://m.media-amazon.com/images/I/61tZqDp+TOL._SY88.jpg","https://m.media-amazon.com/images/I/714lE4pWjNL._SY88.jpg","https://m.media-amazon.com/images/I/71uXRW-rP6L._SY88.jpg","https://m.media-amazon.com/images/I/71W6iIz5s7L._SY88.jpg","One person found this helpful","Best in this rage","https://www.amazon.in/gp/customer-reviews/R6JIHLFFJKEOY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India 🇮🇳 on 19 January 2023","Style name: 1200Colour: Blue"
"India",,"2022-10-27","true","71","B08PDGRR32","4","Say 9 hours but is runs upto 6-7 hours","https://m.media-amazon.com/images/I/61YbgHWSR0L._SY88.jpg",,,,"","Batter backup is not so good","https://www.amazon.in/gp/customer-reviews/R35CN86Q9WL9RW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 27 October 2022","Style name: 1200Colour: Black"
"India",,"2022-11-03","true","72","B08PDGRR32","4","Nice","https://m.media-amazon.com/images/I/61YbgHWSR0L._SY88.jpg",,,,"One person found this helpful","Bettery is not good","https://www.amazon.in/gp/customer-reviews/R1X87R0ITSZXF2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 3 November 2022","Style name: 1200Colour: Maroon"
"India",,"2022-10-31","true","73","B08PDGRR32","4","Best sound quality","https://m.media-amazon.com/images/I/61YbgHWSR0L._SY88.jpg",,,,"One person found this helpful","S","https://www.amazon.in/gp/customer-reviews/R1LEJ29GNCJ3Q8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 31 October 2022","Style name: 1200Colour: Maroon"
"India",,"2022-10-30","true","74","B08PDGRR32","4","Sound quality is better","https://m.media-amazon.com/images/I/61YbgHWSR0L._SY88.jpg",,,,"","Awesome","https://www.amazon.in/gp/customer-reviews/R17VZ0W9VLKD0G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 30 October 2022","Style name: 1200Colour: Black"
"India",,"2022-10-25","true","75","B08PDGRR32","4","Sound is not good bass it's  ok","https://m.media-amazon.com/images/I/61YbgHWSR0L._SY88.jpg",,,,"","Sound not clear","https://www.amazon.in/gp/customer-reviews/R3NKU2JZKC9FZ1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 25 October 2022","Style name: 1200Colour: Maroon"
"India",,"2022-10-29","true","76","B08PDGRR32","4","ಚೆನ್ನಾಗಿದೆ , ಉತ್ತಮ ಗುಣಮಟ್ಟದ ಉತ್ಪನ್ನ","https://m.media-amazon.com/images/I/61YbgHWSR0L._SY88.jpg",,,,"","ಚೆನ್ನಾಗಿದೆ","https://www.amazon.in/gp/customer-reviews/R2VONI3P70W9CN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 29 October 2022","Style name: 1200Colour: Black"
"India",,"2022-12-15","true","77","B08PDGRR32","3","Worst Battery backup","https://m.media-amazon.com/images/I/61YbgHWSR0L._SY88.jpg",,,,"","Worst Battery backup","https://www.amazon.in/gp/customer-reviews/R1H1L3JGNERPM0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 15 December 2022","Style name: 1200Colour: Blue"
"India",,"2023-01-08","true","78","B08PDGRR32","5","Product is nice","https://m.media-amazon.com/images/I/61YbgHWSR0L._SY88.jpg",,,,"","Best quality","https://www.amazon.in/gp/customer-reviews/R19VVVERKYNR54/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 8 January 2023","Style name: 1200Colour: Black"
"India",,"2022-12-16","true","79","B08PDGRR32","3","Very good","https://m.media-amazon.com/images/I/61YbgHWSR0L._SY88.jpg",,,,"","Good","https://www.amazon.in/gp/customer-reviews/R8CPSRD5F0HB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 16 December 2022","Style name: 1200Colour: Maroon"
"India",,"2022-10-15","true","80","B08PDGRR32","4","Battery life is low.Led lights are not that good.Bass is bestSound quality is also bestBut is Price high.","https://m.media-amazon.com/images/I/61YbgHWSR0L._SY88.jpg",,,,"One person found this helpful","Best part is bass","https://www.amazon.in/gp/customer-reviews/R28YFLO1YAPFHB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India on 15 October 2022","Style name: 1200Colour: Maroon"
"India","🇮🇳","2023-01-17","true","61","B08PDGRR32","5","I like boat 1200","https://m.media-amazon.com/images/I/81Vsbj3jHvL._SY88.jpg",,,,"","Sound quality,Bluetooth &Battery is awasum","https://www.amazon.in/gp/customer-reviews/R1IV7QCVJJSCJW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India 🇮🇳 on 17 January 2023","Style name: 1200Colour: Black"
"India","🇮🇳","2023-01-19","true","62","B08PDGRR32","5","great product in this budget","https://m.media-amazon.com/images/I/81Vsbj3jHvL._SY88.jpg",,,,"","Jabardast must buy","https://www.amazon.in/gp/customer-reviews/R3G7KH28H9HEB1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India 🇮🇳 on 19 January 2023","Style name: 1200Colour: Black"
"India","🇮🇳","2022-11-04","true","63","B08PDGRR32","4","Sound quality very nice and Bluetooth jabardast bettery long life","https://m.media-amazon.com/images/I/81Vsbj3jHvL._SY88.jpg",,,,"","Very nice products","https://www.amazon.in/gp/customer-reviews/R3U4XITEBF3N48/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08PDGRR32","Reviewed in India 🇮🇳 on 4 November 2022","Style name: 1200Colour: Black"
